Store,Date,Temperature,Fuel_Price,Stock Price,Unemployment,HolidayIndicator
1,5/2/2010,42.31,2.572,211.0963582,8.106,FALSE
1,12/2/2010,38.51,2.548,211.2421698,8.106,TRUE
1,19/02/2010,39.93,2.514,211.2891429,8.106,FALSE
1,26/02/2010,46.63,2.561,211.3196429,8.106,FALSE
1,5/3/2010,46.5,2.625,211.3501429,8.106,FALSE
1,12/3/2010,57.79,2.667,211.3806429,8.106,FALSE
1,19/03/2010,54.58,2.72,211.215635,8.106,FALSE
1,26/03/2010,51.45,2.732,211.0180424,8.106,FALSE
1,2/4/2010,62.27,2.719,210.8204499,7.808,FALSE
1,9/4/2010,65.86,2.77,210.6228574,7.808,FALSE
1,16/04/2010,66.32,2.808,210.4887,7.808,FALSE
1,23/04/2010,64.84,2.795,210.4391228,7.808,FALSE
1,30/04/2010,67.41,2.78,210.3895456,7.808,FALSE
1,7/5/2010,72.55,2.835,210.3399684,7.808,FALSE
1,14/05/2010,74.78,2.854,210.3374261,7.808,FALSE
1,21/05/2010,76.44,2.826,210.6170934,7.808,FALSE
1,28/05/2010,80.44,2.759,210.8967606,7.808,FALSE
1,4/6/2010,80.69,2.705,211.1764278,7.808,FALSE
1,11/6/2010,80.43,2.668,211.4560951,7.808,FALSE
1,18/06/2010,84.11,2.637,211.4537719,7.808,FALSE
1,25/06/2010,84.34,2.653,211.3386526,7.808,FALSE
1,2/7/2010,80.91,2.669,211.2235333,7.787,FALSE
1,9/7/2010,80.48,2.642,211.108414,7.787,FALSE
1,16/07/2010,83.15,2.623,211.1003854,7.787,FALSE
1,23/07/2010,83.36,2.608,211.2351443,7.787,FALSE
1,30/07/2010,81.84,2.64,211.3699032,7.787,FALSE
1,6/8/2010,87.16,2.627,211.5046621,7.787,FALSE
1,13/08/2010,87,2.692,211.6394211,7.787,FALSE
1,20/08/2010,86.65,2.664,211.6033633,7.787,FALSE
1,27/08/2010,85.22,2.619,211.5673056,7.787,FALSE
1,3/9/2010,81.21,2.577,211.5312479,7.787,FALSE
1,10/9/2010,78.69,2.565,211.4951902,7.787,TRUE
1,17/09/2010,82.11,2.582,211.5224596,7.787,FALSE
1,24/09/2010,80.94,2.624,211.5972246,7.787,FALSE
1,1/10/2010,71.89,2.603,211.6719895,7.838,FALSE
1,8/10/2010,63.93,2.633,211.7467544,7.838,FALSE
1,15/10/2010,67.18,2.72,211.8137436,7.838,FALSE
1,22/10/2010,69.86,2.725,211.8612937,7.838,FALSE
1,29/10/2010,69.64,2.716,211.9088438,7.838,FALSE
1,5/11/2010,58.74,2.689,211.9563939,7.838,FALSE
1,12/11/2010,59.61,2.728,212.003944,7.838,FALSE
1,19/11/2010,51.41,2.771,211.8896737,7.838,FALSE
1,26/11/2010,64.52,2.735,211.7484333,7.838,TRUE
1,3/12/2010,49.27,2.708,211.607193,7.838,FALSE
1,10/12/2010,46.33,2.843,211.4659526,7.838,FALSE
1,17/12/2010,49.84,2.869,211.4053124,7.838,FALSE
1,24/12/2010,52.33,2.886,211.4051222,7.838,FALSE
1,31/12/2010,48.43,2.943,211.4049321,7.838,TRUE
1,7/1/2011,48.27,2.976,211.4047419,7.742,FALSE
1,14/01/2011,35.4,2.983,211.4574109,7.742,FALSE
1,21/01/2011,44.04,3.016,211.8272343,7.742,FALSE
1,28/01/2011,43.83,3.01,212.1970577,7.742,FALSE
1,4/2/2011,42.27,2.989,212.5668812,7.742,FALSE
1,11/2/2011,36.39,3.022,212.9367046,7.742,TRUE
1,18/02/2011,57.36,3.045,213.2478853,7.742,FALSE
1,25/02/2011,62.9,3.065,213.535609,7.742,FALSE
1,4/3/2011,59.58,3.288,213.8233327,7.742,FALSE
1,11/3/2011,53.56,3.459,214.1110564,7.742,FALSE
1,18/03/2011,62.76,3.488,214.3627114,7.742,FALSE
1,25/03/2011,69.97,3.473,214.5999389,7.742,FALSE
1,1/4/2011,59.17,3.524,214.8371664,7.682,FALSE
1,8/4/2011,67.84,3.622,215.0743939,7.682,FALSE
1,15/04/2011,71.27,3.743,215.2918561,7.682,FALSE
1,22/04/2011,72.99,3.807,215.4599053,7.682,FALSE
1,29/04/2011,72.03,3.81,215.6279544,7.682,FALSE
1,6/5/2011,64.61,3.906,215.7960035,7.682,FALSE
1,13/05/2011,75.64,3.899,215.9640526,7.682,FALSE
1,20/05/2011,67.63,3.907,215.7339202,7.682,FALSE
1,27/05/2011,77.72,3.786,215.5037878,7.682,FALSE
1,3/6/2011,83,3.699,215.2736553,7.682,FALSE
1,10/6/2011,83.13,3.648,215.0435229,7.682,FALSE
1,17/06/2011,86.41,3.637,214.9980596,7.682,FALSE
1,24/06/2011,83.58,3.594,215.0910982,7.682,FALSE
1,1/7/2011,85.55,3.524,215.1841368,7.962,FALSE
1,8/7/2011,85.83,3.48,215.2771754,7.962,FALSE
1,15/07/2011,88.54,3.575,215.3611087,7.962,FALSE
1,22/07/2011,85.77,3.651,215.4222784,7.962,FALSE
1,29/07/2011,86.83,3.682,215.4834482,7.962,FALSE
1,5/8/2011,91.65,3.684,215.544618,7.962,FALSE
1,12/8/2011,90.76,3.638,215.6057878,7.962,FALSE
1,19/08/2011,89.94,3.554,215.6693107,7.962,FALSE
1,26/08/2011,87.96,3.523,215.7332258,7.962,FALSE
1,2/9/2011,87.83,3.533,215.7971409,7.962,FALSE
1,9/9/2011,76,3.546,215.861056,7.962,TRUE
1,16/09/2011,79.94,3.526,216.0410526,7.962,FALSE
1,23/09/2011,75.8,3.467,216.3758246,7.962,FALSE
1,30/09/2011,79.69,3.355,216.7105965,7.962,FALSE
1,7/10/2011,69.31,3.285,217.0453684,7.866,FALSE
1,14/10/2011,71.74,3.274,217.3552733,7.866,FALSE
1,21/10/2011,63.71,3.353,217.5159762,7.866,FALSE
1,28/10/2011,66.57,3.372,217.6766791,7.866,FALSE
1,4/11/2011,54.98,3.332,217.837382,7.866,FALSE
1,11/11/2011,59.11,3.297,217.9980849,7.866,FALSE
1,18/11/2011,62.25,3.308,218.2205088,7.866,FALSE
1,25/11/2011,60.14,3.236,218.4676211,7.866,TRUE
1,2/12/2011,48.91,3.172,218.7147333,7.866,FALSE
1,9/12/2011,43.93,3.158,218.9618456,7.866,FALSE
1,16/12/2011,51.63,3.159,219.1794533,7.866,FALSE
1,23/12/2011,47.96,3.112,219.3577216,7.866,FALSE
1,30/12/2011,44.55,3.129,219.5359898,7.866,TRUE
1,6/1/2012,49.01,3.157,219.7142581,7.348,FALSE
1,13/01/2012,48.53,3.261,219.8925263,7.348,FALSE
1,20/01/2012,54.11,3.268,219.9856893,7.348,FALSE
1,27/01/2012,54.26,3.29,220.0788523,7.348,FALSE
1,3/2/2012,56.55,3.36,220.1720153,7.348,FALSE
1,10/2/2012,48.02,3.409,220.2651783,7.348,TRUE
1,17/02/2012,45.32,3.51,220.4257586,7.348,FALSE
1,24/02/2012,57.25,3.555,220.636902,7.348,FALSE
1,2/3/2012,60.96,3.63,220.8480454,7.348,FALSE
1,9/3/2012,58.76,3.669,221.0591887,7.348,FALSE
1,16/03/2012,64.74,3.734,221.2118132,7.348,FALSE
1,23/03/2012,65.93,3.787,221.2864126,7.348,FALSE
1,30/03/2012,67.61,3.845,221.3610119,7.348,FALSE
1,6/4/2012,70.43,3.891,221.4356112,7.143,FALSE
1,13/04/2012,69.07,3.891,221.5102105,7.143,FALSE
1,20/04/2012,66.76,3.877,221.5640737,7.143,FALSE
1,27/04/2012,67.23,3.814,221.6179368,7.143,FALSE
1,4/5/2012,75.55,3.749,221.6718,7.143,FALSE
1,11/5/2012,73.77,3.688,221.7256632,7.143,FALSE
1,18/05/2012,70.33,3.63,221.742674,7.143,FALSE
1,25/05/2012,77.22,3.561,221.744944,7.143,FALSE
1,1/6/2012,77.95,3.501,221.7472139,7.143,FALSE
1,8/6/2012,78.3,3.452,221.7494839,7.143,FALSE
1,15/06/2012,79.35,3.393,221.7626421,7.143,FALSE
1,22/06/2012,78.39,3.346,221.8030211,7.143,FALSE
1,29/06/2012,84.88,3.286,221.8434,7.143,FALSE
1,6/7/2012,81.57,3.227,221.8837789,6.908,FALSE
1,13/07/2012,77.12,3.256,221.9241579,6.908,FALSE
1,20/07/2012,80.42,3.311,221.9327267,6.908,FALSE
1,27/07/2012,82.66,3.407,221.9412954,6.908,FALSE
1,3/8/2012,86.11,3.417,221.9498642,6.908,FALSE
1,10/8/2012,85.05,3.494,221.9584329,6.908,FALSE
1,17/08/2012,84.85,3.571,222.0384109,6.908,FALSE
1,24/08/2012,77.66,3.62,222.1719457,6.908,FALSE
1,31/08/2012,80.49,3.638,222.3054805,6.908,FALSE
1,7/9/2012,83.96,3.73,222.4390153,6.908,TRUE
1,14/09/2012,74.97,3.717,222.5820193,6.908,FALSE
1,21/09/2012,69.87,3.721,222.7818386,6.908,FALSE
1,28/09/2012,76.08,3.666,222.9816579,6.908,FALSE
1,5/10/2012,68.55,3.617,223.1814772,6.573,FALSE
1,12/10/2012,62.99,3.601,223.3812965,6.573,FALSE
1,19/10/2012,67.97,3.594,223.4257233,6.573,FALSE
1,26/10/2012,69.16,3.506,223.4442513,6.573,FALSE
1,2/11/2012,55.32,3.386,223.4627793,6.573,FALSE
1,9/11/2012,61.24,3.314,223.4813073,6.573,FALSE
1,16/11/2012,52.92,3.252,223.5129105,6.573,FALSE
1,23/11/2012,56.23,3.211,223.5619474,6.573,TRUE
1,30/11/2012,52.34,3.207,223.6109842,6.573,FALSE
